Title;Year;Rank;Rating;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;runtimeMinutes;genres
Monty Python and the Holy Grail;1975;144;8.2;tt0071853;movie;Monty Python and the Holy Grail;Monty Python and the Holy Grail;0.0;1975.0;91;Adventure,Comedy,Fantasy
Yojimbo;1961;145;8.1;tt0055630;movie;Yojimbo;Yôjinbô;0.0;1961.0;110;Action,Drama,Thriller
The Treasure of the Sierra Madre;1948;146;8.1;tt0040897;movie;The Treasure of the Sierra Madre;The Treasure of the Sierra Madre;0.0;1948.0;126;Adventure,Drama,Western
Shutter Island;2010;147;8.1;tt1130884;movie;Shutter Island;Shutter Island;0.0;2010.0;138;Mystery,Thriller
Jurassic Park;1993;148;8.1;tt0107290;movie;Jurassic Park;Jurassic Park;0.0;1993.0;127;Action,Adventure,Sci-Fi
The Great Escape;1963;149;8.1;tt0057115;movie;The Great Escape;The Great Escape;0.0;1963.0;172;Adventure,Drama,History
Rashomon;1950;150;8.1;tt0042876;movie;Rashomon;Rashômon;0.0;1950.0;88;Crime,Drama,Mystery
Kill Bill: Vol. 1;2003;151;8.1;tt0266697;movie;Kill Bill: Vol. 1;Kill Bill: Vol. 1;0.0;2003.0;111;Action,Crime,Drama
No Country for Old Men;2007;152;8.1;tt0477348;movie;No Country for Old Men;No Country for Old Men;0.0;2007.0;122;Crime,Drama,Thriller
Finding Nemo;2003;153;8.1;tt0266543;movie;Finding Nemo;Finding Nemo;0.0;2003.0;100;Adventure,Animation,Comedy
The Elephant Man;1980;154;8.1;tt0080678;movie;The Elephant Man;The Elephant Man;0.0;1980.0;124;Biography,Drama
Chinatown;1974;155;8.1;tt0071315;movie;Chinatown;Chinatown;0.0;1974.0;130;Drama,Mystery,Thriller
Raging Bull;1980;156;8.1;tt0081398;movie;Raging Bull;Raging Bull;0.0;1980.0;129;Biography,Drama,Sport
The Thing;1982;157;8.1;tt0084787;movie;The Thing;The Thing;0.0;1982.0;109;Horror,Mystery,Sci-Fi
Gone with the Wind;1939;158;8.1;tt0031381;movie;Gone with the Wind;Gone with the Wind;0.0;1939.0;238;Drama,Romance,War
V for Vendetta;2005;159;8.1;tt0434409;movie;V for Vendetta;V for Vendetta;0.0;2005.0;132;Action,Drama,Sci-Fi
Inside Out;2015;160;8.1;tt2096673;movie;Inside Out;Inside Out;0.0;2015.0;95;Adventure,Animation,Comedy
Lock, Stock and Two Smoking Barrels;1998;161;8.1;tt0120735;movie;Lock, Stock and Two Smoking Barrels;Lock, Stock and Two Smoking Barrels;0.0;1998.0;107;Action,Comedy,Crime
Dial M for Murder;1954;162;8.1;tt0046912;movie;Dial M for Murder;Dial M for Murder;0.0;1954.0;105;Crime,Thriller
The Secret in Their Eyes;2009;163;8.1;tt1305806;movie;The Secret in Their Eyes;El secreto de sus ojos;0.0;2009.0;129;Drama,Mystery,Romance
Howl's Moving Castle;2004;164;8.1;tt0347149;movie;Howl's Moving Castle;Hauru no ugoku shiro;0.0;2004.0;119;Adventure,Animation,Family
The Bridge on the River Kwai;1957;165;8.1;tt0050212;movie;The Bridge on the River Kwai;The Bridge on the River Kwai;0.0;1957.0;161;Adventure,Drama,War
